Date,Avg_Magnitude_Forecast,Avg_Magnitude_Lower_CI,Avg_Magnitude_Upper_CI,Date,Meteor_Count_Forecast,Meteor_Count_Lower_CI,Meteor_Count_Upper_CI,Date,Peak_Activity_Forecast,Peak_Activity_Lower_CI,Peak_Activity_Upper_CI
2025-01-17 21:55:00,23147.293053822516,22595.53178114224,23699.05432650279,2025-01-17 21:55:00,153961.44444444444,140781.22237225954,167141.66651662934,2025-01-17 21:55:00,0.4444444444444444,0.36657113025731203,0.5223177586315768
2025-01-18 21:55:00,23149.41610930875,22586.727810060445,23712.104408557054,2025-01-18 21:55:00,153961.44444444444,140533.62539774436,167389.26349114452,2025-01-18 21:55:00,0.4444444444444444,0.36502893470529996,0.5238599541835889
2025-01-19 21:55:00,23151.539164794984,22578.132030036322,23724.946299553645,2025-01-19 21:55:00,153961.44444444444,140290.51196601658,167632.3769228723,2025-01-19 21:55:00,0.4444444444444444,0.36351612238245884,0.5253727665064301
2025-01-20 21:55:00,23153.662220281218,22569.732976045816,23737.59146451662,2025-01-20 21:55:00,153961.44444444444,140051.64698694905,167871.24190193982,2025-01-20 21:55:00,0.4444444444444444,0.3620310751624597,0.5268578137264291
2025-01-21 21:55:00,23155.785275767452,22561.52019825194,23750.050353282964,2025-01-21 21:55:00,153961.44444444444,139816.81522387604,168106.07366501284,2025-01-21 21:55:00,0.4444444444444444,0.36057231819830055,0.5283165706905883
2025-01-22 21:55:00,23157.908331253686,22553.484140444194,23762.332522063178,2025-01-22 21:55:00,153961.44444444444,139585.81902270473,168337.06986618415,2025-01-22 21:55:00,0.4444444444444444,0.3591385027657465,0.5297503861231423
2025-01-23 21:55:00,23160.03138673992,22545.616036576124,23774.446736903716,2025-01-23 21:55:00,153961.44444444444,139358.47636446217,168564.4125244267,2025-01-23 21:55:00,0.4444444444444444,0.3577283916610657,0.5311604972278232
2025-01-24 21:55:00,23162.154442226154,22537.907822212805,23786.401062239504,2025-01-24 21:55:00,153961.44444444444,139134.61918669648,168788.2697021924,2025-01-24 21:55:00,0.4444444444444444,0.35634084670309196,0.5325480421857969
2025-01-25 21:55:00,23164.277497712388,22530.35205834331,23798.202937081467,2025-01-25 21:55:00,153961.44444444444,138914.09192971268,169008.7969591762,2025-01-25 21:55:00,0.4444444444444444,0.35497481798042946,0.5339140709084593
2025-01-26 21:55:00,23166.400553198622,22522.94186551116,23809.859240886086,2025-01-26 21:55:00,153961.44444444444,138696.7502718966,169226.13861699228,2025-01-26 21:55:00,0.4444444444444444,0.3536293345548964,0.5352595543339924
2025-01-27 21:55:00,23168.523608684856,22515.670866604636,23821.376350765076,2025-01-27 21:55:00,153961.44444444444,138482.46002490877,169440.4288639801,2025-01-27 21:55:00,0.4444444444444444,0.3523034963871827,0.5365853925017061
2025-01-28 21:55:00,23170.64666417109,22508.53313695476,23832.76019138742,2025-01-28 21:55:00,153961.44444444444,138271.09616472037,169651.7927241685,2025-01-28 21:55:00,0.4444444444444444,0.3509964672938859,0.537892421595003
2025-01-29 21:55:00,23172.769719657324,22501.523160631477,23844.01627868317,2025-01-29 21:55:00,153961.44444444444,138062.5419786183,169860.34691027057,2025-01-29 21:55:00,0.4444444444444444,0.3497074687793345,0.5391814201095544
2025-01-30 21:55:00,23174.89277514356,22494.6357920223,23855.149758264815,2025-01-30 21:55:00,153961.44444444444,137856.68831165362,170066.20057723526,2025-01-30 21:55:00,0.4444444444444444,0.348435774612955,0.5404531142759338
2025-01-31 21:55:00,23177.015830629793,22487.86622193338,23866.165439326207,2025-01-31 21:55:00,153961.44444444444,137653.43289872017,170269.4559901687,2025-01-31 21:55:00,0.4444444444444444,0.34718070604491413,0.5417081828439747
2025-02-01 21:55:00,23179.138886116027,22481.209947578864,23877.06782465319,2025-02-01 21:55:00,153961.44444444444,137452.6797706632,170470.20911822567,2025-02-01 21:55:00,0.4444444444444444,0.345941627570547,0.5429472613183419
2025-02-02 21:55:00,23181.26194160226,22474.662745927086,23887.861137277436,2025-02-02 21:55:00,153961.44444444444,137254.33872462873,170668.55016426014,2025-02-02 21:55:00,0.4444444444444444,0.3447179431685403,0.5441709457203485
2025-02-03 21:55:00,23183.384997088495,22468.22064995562,23898.54934422137,2025-02-03 21:55:00,153961.44444444444,137058.3248503603,170864.56403852857,2025-02-03 21:55:00,0.4444444444444444,0.34350909294967225,0.5453797959392166
2025-02-04 21:55:00,23185.50805257473,22461.87992743642,23909.136177713037,2025-02-04 21:55:00,153961.44444444444,136864.55810538484,171058.33078350403,2025-02-04 21:55:00,0.4444444444444444,0.3423145501626352,0.5465743387262536
2025-02-05 21:55:00,23187.631108060963,22455.637061929185,23919.62515419274,2025-02-05 21:55:00,153961.44444444444,136672.96293305847,171249.9259558304,2025-02-05 21:55:00,0.4444444444444444,0.34113381851151414,0.5477550703773747
2025-02-06 21:55:00,23189.754163547197,22449.48873570826,23930.019591386135,2025-02-06 21:55:00,153961.44444444444,136483.46791830313,171439.42097058575,2025-02-06 21:55:00,0.4444444444444444,0.3399664297461637,0.5489224591427251
2025-02-07 21:55:00,23191.87721903343,22443.431814388074,23940.32262367879,2025-02-07 21:55:00,153961.44444444444,136296.00547658524,171626.88341230364,2025-02-07 21:55:00,0.4444444444444444,0.33881194149230154,0.5500769473965873
2025-02-08 21:55:00,23194.000274519665,22437.463333044932,23950.537215994398,2025-02-08 21:55:00,153961.44444444444,136110.51157229542,171812.37731659345,2025-02-08 21:55:00,0.4444444444444444,0.3376699352927991,0.5512189535960897
2025-02-09 21:55:00,23196.1233300059,22431.580483661015,23960.666176350784,2025-02-09 21:55:00,153961.44444444444,135926.92546320232,171995.96342568655,2025-02-09 21:55:00,0.4444444444444444,0.3365400148355766,0.5523488740533122
2025-02-10 21:55:00,23198.246385492133,22425.780603739746,23970.71216724452,2025-02-10 21:55:00,153961.44444444444,135745.189468089,172177.69942079988,2025-02-10 21:55:00,0.4444444444444444,0.3354218043468233,0.5534670845420655
2025-02-11 21:55:00,23200.369440978367,22420.06116596168,23980.677715995054,2025-02-11 21:55:00,153961.44444444444,135565.2487550524,172357.64013383648,2025-02-11 21:55:00,0.4444444444444444,0.3343149471310736,0.5545739417578152
2025-02-12 21:55:00,23202.4924964646,22414.41976876702,23990.565224162183,2025-02-12 21:55:00,153961.44444444444,135387.05114826333,172535.83774062555,2025-02-12 21:55:00,0.4444444444444444,0.3332191042420604,0.5556697846468284
